  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.260     Re =     3.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1260   0.00531   0.00081  -0.0588   0.5152   0.4617
   1.000   0.2427   0.00521   0.00087  -0.0878   0.4476   0.5918
   3.000   0.4725   0.00559   0.00136  -0.1439   0.2869   0.8296
   4.000   0.5831   0.00616   0.00185  -0.1696   0.1961   0.9213
   5.000   0.6905   0.00705   0.00250  -0.1935   0.1169   0.9766
   6.000   0.8196   0.00810   0.00330  -0.2276   0.0653   0.9953
   7.000   0.9561   0.00919   0.00423  -0.2648   0.0396   0.9996
   8.000   1.0558   0.01020   0.00520  -0.2844   0.0282   1.0000
   9.000   1.1575   0.01137   0.00637  -0.3046   0.0215   1.0000
  10.000   1.2611   0.01272   0.00778  -0.3255   0.0173   1.0000
  11.000   1.3603   0.01440   0.00956  -0.3442   0.0145   1.0000
  12.000   1.4513   0.01641   0.01173  -0.3593   0.0124   1.0000
  13.000   1.5193   0.01898   0.01453  -0.3652   0.0110   1.0000
  14.000   1.5661   0.02305   0.01887  -0.3655   0.0098   1.0000
  15.000   1.6011   0.02908   0.02525  -0.3657   0.0091   1.0000
  16.000   1.6081   0.03946   0.03602  -0.3638   0.0086   1.0000
  17.000   1.5662   0.05765   0.05467  -0.3579   0.0082   1.0000
  18.000   1.4701   0.08527   0.08276  -0.3476   0.0081   1.0000
  19.000   1.3521   0.11859   0.11649  -0.3381   0.0082   1.0000
  20.000   1.2402   0.15440   0.15264  -0.3361   0.0083   1.0000
  21.000   1.1673   0.18734   0.18582  -0.3453   0.0082   1.0000
  22.000   1.1399   0.21343   0.21211  -0.3613   0.0078   1.0000
  23.000   1.1242   0.23865   0.23748  -0.3806   0.0073   1.0000
